holiday,business_day,month,weekday,max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,wind_dir_degrees,zip_code,fog,fog_rain,rain
0,0,8,1,55.0,47.0,39.0,45.0,38.0,36.0,93.0,82.0,58.0,30.23,30.18,30.14,10.0,8.0,4.0,6.0,0.0,6.0,0.0,1.0,54.0,94063,0,0,0
0,0,8,1,55.0,46.0,37.0,32.0,26.0,18.0,65.0,50.0,25.0,30.19,30.13,30.08,10.0,10.0,10.0,8.0,2.0,8.0,0.0,1.0,314.0,94063,0,0,0
0,0,8,0,59.0,52.0,44.0,50.0,44.0,39.0,94.0,82.0,63.0,30.32,30.25,30.19,10.0,10.0,7.0,7.0,2.0,7.0,0.0,2.0,342.0,94063,0,0,0
0,0,9,0,59.0,54.0,48.0,54.0,48.0,46.0,100.0,90.0,67.0,30.06,30.01,29.97,10.0,9.0,3.0,7.0,3.0,7.0,0.0,3.0,325.0,94063,0,0,0
0,0,9,1,57.0,50.0,44.0,50.0,45.0,41.0,93.0,86.0,72.0,30.3,30.24,30.18,10.0,9.0,6.0,8.0,2.0,8.0,0.0,4.0,269.0,94063,0,0,0
0,0,9,1,55.0,50.0,44.0,50.0,47.0,45.0,100.0,94.0,82.0,30.2,30.1,30.03,10.0,8.0,2.0,4.0,1.0,4.0,0.0,3.0,197.0,94063,0,0,0
0,0,9,1,59.0,50.0,41.0,46.0,41.0,36.0,100.0,78.0,44.0,30.4,30.33,30.28,10.0,10.0,9.0,12.0,4.0,12.0,0.0,2.0,271.0,94063,0,0,0
0,0,9,1,62.0,53.0,44.0,50.0,46.0,43.0,100.0,90.0,59.0,30.29,30.22,30.2,10.0,9.0,6.0,7.0,1.0,7.0,0.0,1.0,36.0,94063,0,0,0
0,0,9,1,66.0,54.0,41.0,46.0,35.0,32.0,81.0,57.0,30.0,30.47,30.4,30.35,10.0,10.0,10.0,9.0,2.0,9.0,0.0,0.0,205.0,94063,0,0,0
0,0,9,0,62.0,53.0,44.0,48.0,43.0,37.0,100.0,78.0,45.0,30.24,30.19,30.13,10.0,10.0,10.0,7.0,1.0,7.0,0.0,1.0,192.0,94063,0,0,0
0,0,9,0,69.0,55.0,41.0,45.0,33.0,27.0,81.0,54.0,20.0,30.46,30.39,30.33,10.0,10.0,10.0,13.0,2.0,13.0,0.0,0.0,222.0,94063,0,0,0
0,0,9,1,59.0,50.0,41.0,48.0,41.0,37.0,87.0,80.0,59.0,30.31,30.22,30.17,10.0,9.0,5.0,6.0,1.0,6.0,0.0,1.0,297.0,94063,0,0,0
0,0,9,1,69.0,56.0,44.0,41.0,33.0,28.0,71.0,52.0,25.0,30.36,30.28,30.21,10.0,10.0,10.0,6.0,2.0,6.0,0.0,0.0,197.0,94063,0,0,0
0,0,9,1,59.0,50.0,42.0,50.0,45.0,41.0,93.0,86.0,63.0,30.34,30.29,30.24,8.0,4.0,2.0,8.0,2.0,8.0,0.0,2.0,352.0,94063,0,0,0
0,0,9,1,69.0,56.0,42.0,41.0,34.0,30.0,71.0,55.0,25.0,30.25,30.19,30.13,10.0,10.0,9.0,5.0,1.0,5.0,0.0,0.0,152.0,94063,0,0,0
0,0,9,1,59.0,52.0,46.0,54.0,48.0,45.0,94.0,89.0,67.0,30.31,30.27,30.23,10.0,5.0,3.0,7.0,2.0,7.0,0.0,5.0,327.0,94063,0,0,0
0,0,9,0,62.0,52.0,42.0,46.0,36.0,32.0,71.0,60.0,45.0,30.2,30.15,30.12,10.0,9.0,6.0,7.0,1.0,7.0,0.0,0.0,344.0,94063,0,0,0
0,0,9,0,59.0,54.0,50.0,54.0,50.0,48.0,100.0,89.0,77.0,30.31,30.28,30.21,9.0,6.0,5.0,6.0,2.0,6.0,0.0,5.0,232.0,94063,0,0,0
0,0,9,1,62.0,52.0,41.0,46.0,37.0,32.0,87.0,67.0,48.0,30.18,30.12,30.07,10.0,8.0,6.0,7.0,0.0,7.0,0.0,0.0,44.0,94063,0,0,0
0,0,9,1,64.0,57.0,50.0,57.0,52.0,48.0,100.0,93.0,73.0,30.34,30.28,30.26,10.0,6.0,1.0,7.0,2.0,7.0,0.0,5.0,351.0,94063,0,0,0
0,0,9,1,66.0,52.0,39.0,43.0,34.0,32.0,76.0,61.0,32.0,30.15,30.1,30.07,10.0,9.0,6.0,7.0,0.0,7.0,0.0,0.0,333.0,94063,0,0,0
0,0,9,1,59.0,54.0,48.0,55.0,52.0,46.0,100.0,93.0,72.0,30.32,30.26,30.19,10.0,7.0,0.0,9.0,2.0,9.0,0.0,5.0,336.0,94063,1,0,0
0,0,9,1,60.0,50.0,41.0,46.0,38.0,36.0,87.0,72.0,42.0,30.19,30.13,30.06,10.0,10.0,7.0,6.0,0.0,6.0,0.0,1.0,20.0,94063,0,0,0
0,0,9,0,50.0,42.0,35.0,36.0,31.0,27.0,87.0,71.0,50.0,30.24,30.19,30.14,10.0,10.0,8.0,5.0,0.0,5.0,0.0,2.0,28.0,94063,0,0,0
0,0,9,0,64.0,52.0,41.0,48.0,36.0,34.0,81.0,66.0,39.0,30.24,30.17,30.12,10.0,8.0,6.0,6.0,1.0,6.0,0.0,0.0,350.0,94063,0,0,0
