holiday,business_day,month,weekday,max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,wind_dir_degrees,zip_code,fog,fog_rain,rain
0,0,8,1,62.0,49.0,35.0,36.0,34.0,32.0,89.0,62.0,34.0,30.22,30.17,30.12,10.0,8.0,6.0,8.0,1.0,10.0,0.0,2.0,310.0,95113,0,0,0
0,0,8,1,53.0,42.0,30.0,27.0,23.0,18.0,64.0,46.0,28.0,30.18,30.12,30.07,10.0,10.0,10.0,8.0,3.0,10.0,0.0,0.0,129.0,95113,0,0,0
0,0,8,0,62.0,52.0,41.0,48.0,43.0,37.0,86.0,69.0,52.0,30.31,30.24,30.18,10.0,10.0,10.0,8.0,2.0,13.0,0.0,3.0,297.0,95113,0,0,0
0,0,9,0,61.0,54.0,46.0,50.0,47.0,44.0,100.0,80.0,60.0,30.05,30.0,29.95,10.0,8.0,5.0,9.0,2.0,10.0,0.0,4.0,293.0,95113,0,0,0
0,0,9,1,59.0,51.0,43.0,50.0,44.0,40.0,93.0,78.0,62.0,30.3,30.23,30.17,10.0,10.0,10.0,20.0,3.0,24.0,0.0,4.0,349.0,95113,0,0,0
0,0,9,1,55.0,50.0,44.0,50.0,47.0,43.0,100.0,92.0,83.0,30.19,30.09,30.02,9.0,4.0,0.0,12.0,3.0,14.0,0.0,6.0,292.0,95113,1,0,0
0,0,9,1,60.0,52.0,43.0,46.0,41.0,35.0,100.0,72.0,44.0,30.38,30.32,30.27,10.0,10.0,9.0,17.0,6.0,22.0,0.0,3.0,264.0,95113,0,0,0
0,0,9,1,61.0,51.0,41.0,50.0,45.0,39.0,100.0,80.0,60.0,30.27,30.21,30.19,10.0,9.0,6.0,9.0,3.0,13.0,0.01,2.0,281.0,95113,0,0,0
0,0,9,1,68.0,56.0,43.0,35.0,33.0,31.0,70.0,48.0,26.0,30.46,30.39,30.34,10.0,10.0,10.0,9.0,3.0,14.0,0.0,0.0,236.0,95113,0,0,0
0,0,9,0,65.0,54.0,43.0,48.0,43.0,35.0,100.0,67.0,34.0,30.22,30.18,30.1,10.0,5.0,0.0,16.0,4.0,20.0,0.0,3.0,203.0,95113,1,0,0
0,0,9,0,76.0,57.0,37.0,34.0,27.0,13.0,76.0,43.0,9.0,30.45,30.37,30.32,10.0,10.0,10.0,17.0,3.0,24.0,0.0,0.0,5.0,95113,0,0,0
0,0,9,1,62.0,51.0,39.0,45.0,39.0,34.0,86.0,66.0,46.0,30.29,30.21,30.17,10.0,10.0,7.0,10.0,2.0,12.0,0.0,4.0,63.0,95113,0,0,0
0,0,9,1,71.0,55.0,39.0,34.0,29.0,25.0,53.0,37.0,20.0,30.34,30.27,30.2,10.0,10.0,10.0,9.0,2.0,12.0,0.0,0.0,154.0,95113,0,0,0
0,0,9,1,62.0,51.0,39.0,48.0,43.0,38.0,93.0,72.0,51.0,30.34,30.28,30.24,10.0,8.0,5.0,13.0,3.0,15.0,0.0,4.0,211.0,95113,0,0,0
0,0,9,1,73.0,56.0,39.0,34.0,29.0,25.0,62.0,40.0,18.0,30.24,30.17,30.12,10.0,10.0,10.0,8.0,1.0,10.0,0.0,0.0,107.0,95113,0,0,0
0,0,9,1,63.0,53.0,42.0,53.0,47.0,41.0,96.0,74.0,51.0,30.3,30.25,30.21,10.0,7.0,4.0,12.0,4.0,14.0,0.0,5.0,260.0,95113,0,0,0
0,0,9,0,69.0,54.0,39.0,38.0,32.0,29.0,60.0,42.0,24.0,30.19,30.14,30.11,10.0,10.0,9.0,8.0,2.0,10.0,0.0,0.0,272.0,95113,0,0,0
0,0,9,0,61.0,54.0,47.0,51.0,49.0,46.0,100.0,85.0,69.0,30.29,30.26,30.19,10.0,5.0,2.0,12.0,1.0,14.0,0.0,6.0,310.0,95113,0,0,0
